week_start,marketing_spend
2023-01-02,975.61
2023-01-09,4614.26
2023-01-16,1935.08
2023-01-23,4928.12
2023-01-30,2132.99
2023-02-06,2158.61
2023-02-13,2193.12
2023-02-20,2984.27
2023-02-27,2713.16
2023-03-06,3895.78
2023-03-13,3647.06
2023-03-20,2928.89
2023-03-27,679.57
2023-04-03,3154.45
2023-04-10,2773.74
2023-04-17,4757.09
2023-04-24,3193.24
2023-05-01,4611.88
2023-05-08,756.0
2023-05-15,641.56
2023-05-22,2927.69
2023-05-29,1783.25
2023-06-05,3927.84
2023-06-12,4765.1
2023-06-19,1203.69
2023-06-26,4648.54
2023-07-03,3372.65
2023-07-10,3602.18
2023-07-17,1832.77
2023-07-24,2722.23
2023-07-31,4070.54
2023-08-07,4075.73
2023-08-14,3951.38
2023-08-21,3515.47
2023-08-28,2363.23
2023-09-04,2119.57
2023-09-11,660.61
2023-09-18,4535.83
2023-09-25,3797.91
2023-10-02,2263.63
2023-10-09,735.39
2023-10-16,1602.27
2023-10-23,3539.94
2023-10-30,3929.51
2023-11-06,8432.082
2023-11-13,6871.716
2023-11-20,6199.398
2023-11-27,8367.822
2023-12-04,3742.182
2023-12-11,7771.068
2023-12-18,6871.14
2023-12-25,4344.39
2024-01-01,3102.24
2024-01-08,1376.88
2024-01-15,919.89
2024-01-22,1790.26
2024-01-29,1914.7
2024-02-05,2950.53
2024-02-12,1126.64
2024-02-19,1165.44
2024-02-26,774.52
2024-03-04,4931.58
2024-03-11,2262.85
2024-03-18,1266.22
2024-03-25,4765.7
2024-04-01,850.36
2024-04-08,810.74
2024-04-15,4997.44
2024-04-22,2568.24
2024-04-29,2504.38
2024-05-06,1870.52
2024-05-13,2781.26
2024-05-20,4062.47
2024-05-27,4513.67
2024-06-03,3682.83
2024-06-10,953.0
2024-06-17,1958.68
2024-06-24,4788.58
2024-07-01,2467.1
2024-07-08,4547.67
2024-07-15,3625.42
2024-07-22,1380.81
2024-07-29,4620.7
2024-08-05,3493.79
2024-08-12,963.38
2024-08-19,2218.17
2024-08-26,4702.81
2024-09-02,3894.08
2024-09-09,1900.88
2024-09-16,3696.29
2024-09-23,2115.39
2024-09-30,923.84
2024-10-07,2687.93
2024-10-14,1197.06
2024-10-21,2207.46
2024-10-28,2476.37
2024-11-04,4285.512000000001
2024-11-11,5581.908
2024-11-18,4670.316
2024-11-25,1803.384
2024-12-02,6508.26
2024-12-09,4239.882
2024-12-16,6027.876
2024-12-23,1380.024
2024-12-30,2581.8840000000005
