product_id,category,unit_cost,unit_price
1,Beauty,67.14,94.28
2,Sports,20.06,41.66
3,Electronics,75.29,140.11
4,Beauty,7.09,11.33
5,Home & Kitchen,136.58,185.37
6,Grocery,40.3,63.67
7,Sports,100.05,159.35
8,Beauty,48.13,94.17
9,Electronics,78.97,147.97
10,Electronics,82.91,173.99
11,Apparel,29.36,50.65
12,Apparel,145.5,204.81
13,Home & Kitchen,116.72,226.66
14,Beauty,141.05,279.94
15,Beauty,134.43,242.67
16,Grocery,90.49,180.43
17,Grocery,138.44,241.5
18,Grocery,15.1,26.73
19,Apparel,31.01,52.25
20,Beauty,8.69,11.5
21,Beauty,50.15,70.06
22,Electronics,59.52,79.06
23,Apparel,42.16,78.96
24,Sports,124.65,197.31
25,Apparel,54.8,96.32
26,Sports,43.58,92.25
27,Electronics,82.32,125.49
28,Home & Kitchen,22.86,38.16
29,Beauty,120.73,239.04
30,Electronics,13.03,19.62
31,Beauty,148.06,202.74
32,Grocery,116.29,181.5
33,Home & Kitchen,31.41,45.39
34,Home & Kitchen,2.82,6.03
35,Electronics,122.69,248.73
36,Home & Kitchen,106.61,199.37
37,Sports,109.89,229.05
38,Home & Kitchen,116.15,235.01
39,Beauty,12.96,19.02
40,Beauty,55.05,115.79
