transaction_id,date,store_id,product_id,quantity,unit_price,discount_pct,sales_value
1,2023-01-01,4,2,2.0,41.66,0.0,83.32
2,2023-01-01,1,2,3.0,41.66,0.0,124.98
3,2023-01-01,7,28,4.0,38.16,0.0,152.64
4,2023-01-01,6,23,2.0,78.96,0.0,157.92
5,2023-01-01,1,37,1.0,229.05,0.0,229.05
6,2023-01-01,1,32,4.0,181.5,0.0,726.0
7,2023-01-01,1,33,4.0,45.39,0.0,181.56
8,2023-01-01,3,1,1.0,94.28,0.0,94.28
9,2023-01-01,6,19,2.0,52.25,0.0,104.5
10,2023-01-01,1,2,1.0,41.66,0.0,41.66
11,2023-01-01,4,26,4.0,92.25,0.0,369.0
12,2023-01-01,5,32,5.0,181.5,0.2597333755173408,671.79
13,2023-01-01,1,6,5.0,63.67,0.0,318.35
14,2023-01-01,3,32,3.0,181.5,0.0,544.5
15,2023-01-01,7,4,1.0,11.33,0.0,11.33
16,2023-01-01,6,11,1.0,50.65,0.0,50.65
17,2023-01-01,8,17,3.0,241.5,0.0,724.5
18,2023-01-01,3,38,3.0,235.01,0.0,705.03
19,2023-01-01,1,24,3.0,197.31,0.0,591.93
20,2023-01-01,6,5,4.0,185.37,0.0,741.48
21,2023-01-01,5,34,1.0,6.03,0.0,6.03
22,2023-01-01,1,6,4.0,63.67,0.0,254.68
23,2023-01-01,3,22,3.0,79.06,0.26050576875299536,175.39
24,2023-01-01,2,11,1.0,50.65,0.0,50.65
25,2023-01-01,4,16,4.0,180.43,0.0,721.72
26,2023-01-01,8,33,4.0,45.39,0.0,181.56
27,2023-01-01,7,9,3.0,147.97,0.0,443.91
28,2023-01-01,3,6,1.0,63.67,0.0,63.67
29,2023-01-01,6,16,3.0,180.43,0.0,541.29
30,2023-01-01,8,29,1.0,239.04,0.0,239.04
31,2023-01-01,8,3,5.0,140.11,0.0,700.55
32,2023-01-01,8,20,2.0,11.5,0.14970522536119862,19.56
33,2023-01-01,1,36,2.0,199.37,0.0,398.74
34,2023-01-01,4,19,2.0,52.25,0.0,104.5
35,2023-01-01,1,26,3.0,92.25,0.0,276.75
36,2023-01-01,6,3,5.0,140.11,0.0,700.55
37,2023-01-01,1,19,1.0,52.25,0.0,52.25
38,2023-01-01,2,20,4.0,11.5,0.0,46.0
39,2023-01-01,4,32,1.0,181.5,0.0,181.5
40,2023-01-01,4,7,4.0,159.35,0.0645483988771109,596.26
41,2023-01-01,6,33,1.0,45.39,0.0,45.39
42,2023-01-01,7,40,5.0,115.79,0.0,578.95
43,2023-01-01,2,39,4.0,19.02,0.0,76.08
44,2023-01-01,3,18,3.0,26.73,0.0,80.19
45,2023-01-01,1,40,1.0,115.79,0.0,115.79
46,2023-01-01,5,1,1.0,94.28,0.0,94.28
47,2023-01-01,1,11,4.0,50.65,0.20956764846083759,160.14
48,2023-01-01,8,28,3.0,38.16,0.17917406435664168,93.97
49,2023-01-01,1,25,3.0,96.32,0.0,288.96
50,2023-01-01,3,23,5.0,78.96,0.0,394.8
51,2023-01-02,2,19,2.0,52.25,0.0,104.5
52,2023-01-02,8,32,3.0,181.5,0.2965002659557177,383.06
53,2023-01-02,3,1,1.0,94.28,0.0,94.28
54,2023-01-02,5,5,4.0,185.37,0.14406489638272896,634.66
55,2023-01-02,6,4,2.0,11.33,0.0,22.66
56,2023-01-02,1,16,5.0,180.43,0.0,902.15
57,2023-01-02,5,24,2.0,197.31,0.0,394.62
58,2023-01-02,6,16,5.0,180.43,0.0,902.15
59,2023-01-02,4,2,3.0,41.66,0.0,124.98
60,2023-01-02,5,28,5.0,38.16,0.0,190.8
61,2023-01-02,7,32,4.0,181.5,0.0,726.0
62,2023-01-02,1,27,1.0,125.49,0.0,125.49
63,2023-01-02,6,20,5.0,11.5,0.0,57.5
64,2023-01-02,6,24,5.0,197.31,0.0,986.55
65,2023-01-02,6,12,1.0,204.81,0.0,204.81
66,2023-01-02,4,35,4.0,248.73,0.0,994.92
67,2023-01-02,5,33,2.0,45.39,0.21230257552901588,71.51
68,2023-01-02,4,33,5.0,45.39,0.0,226.95
69,2023-01-02,8,37,1.0,229.05,0.19584219127428992,184.19
70,2023-01-02,2,12,3.0,204.81,0.0,614.43
71,2023-01-02,2,3,1.0,140.11,0.0,140.11
72,2023-01-02,8,1,3.0,94.28,0.0,282.84
73,2023-01-02,5,33,4.0,45.39,0.0,181.56
74,2023-01-02,7,40,2.0,115.79,0.10589895962986316,207.06
75,2023-01-02,4,10,1.0,173.99,0.2908056348601528,123.39
76,2023-01-02,1,29,5.0,239.04,0.0,1195.2
77,2023-01-02,6,13,4.0,226.66,0.0,906.64
78,2023-01-02,6,12,1.0,204.81,0.06078997798764403,192.36
79,2023-01-02,5,31,5.0,202.74,0.2727857784245178,737.18
80,2023-01-02,7,2,1.0,41.66,0.0,41.66
81,2023-01-02,2,35,3.0,248.73,0.2982411990298251,523.65
82,2023-01-02,2,23,1.0,78.96,0.0,78.96
83,2023-01-02,6,17,1.0,241.5,0.0,241.5
84,2023-01-02,5,26,1.0,92.25,0.29232563390477473,65.28
85,2023-01-02,4,8,4.0,94.17,0.1807744610425372,308.59
86,2023-01-02,2,29,1.0,239.04,0.0,239.04
87,2023-01-02,4,26,5.0,92.25,0.0,461.25
88,2023-01-02,7,10,3.0,173.99,0.0,521.97
89,2023-01-02,2,26,3.0,92.25,0.0,276.75
90,2023-01-03,1,28,5.0,38.16,0.0,190.8
91,2023-01-03,3,29,5.0,239.04,0.0980722547021677,1077.98
92,2023-01-03,4,13,5.0,226.66,0.06021715406661972,1065.06
93,2023-01-03,2,35,5.0,248.73,0.0,1243.65
94,2023-01-03,8,6,2.0,63.67,0.0,127.34
95,2023-01-03,8,18,2.0,26.73,0.0,53.46
96,2023-01-03,8,5,,185.37,0.0,556.11
97,2023-01-03,6,25,1.0,96.32,0.0,96.32
98,2023-01-03,4,2,5.0,41.66,0.0,208.3
99,2023-01-03,8,10,1.0,173.99,0.0,173.99
100,2023-01-03,4,30,1.0,19.62,0.0,19.62
101,2023-01-03,5,5,3.0,185.37,0.0,556.11
102,2023-01-03,8,33,5.0,45.39,0.0,226.95
